CCOGID,Category,Definition,Occupational Group 1 / Level 1,Occupational Group 2 / Level 2
1.A.05.e,IP,"Assess and estimate technical requirements, feasibility, cost-benefit, and data flow volumes for movement of data of various formats among a variety of locations and devices; analyse and program data conversion; evaluate, select, install, maintain, ""trouble-shoot"" and upgrade networks and telecommunications facilities; analyse, design, develop and monitor security, performance and compatibility of supporting computer network and communication software and hardware; coordinate and maintain integrity of local area network based services; plan and coordinate upgrade of telecommunications facilities in accordance with international standards.",Information systems and communication technology specialists,e. Computer communications and network specialists
1.A.05.f,IP,"Analyse and design hardware and software system architecture; monitor system performance, utilization, and cost effectiveness; assess new releases and upgrades for operating software and equipment; program and coordinate conversions and installations of upgrades/new releases; design and write system programs for specific system architecture; and evaluate and implement technological improvements to hardware and software.",Information systems and communication technology specialists,f. Computer system programming and performance specialists
1.A.06,IP,"Perform functions relating to organizational development, staff recruitment, placement, human resources planning, promotion, staff training and management development, job classification, compensation and benefits, staff relations, performance management and other areas of human resources management; ascertain staffing requirements, carry out job analysis and evaluation; formulate and interpret HR policy; arrange transfers of staff, advertise vacancies, interview and test applicants, select most suitable candidates and settle terms of employment or submit proposals to employing organization; plan for the provision and allocation of human resources to meet the Organization's objectives; organize and administer staff consultation and grievance procedures; negotiate settlement of appeals and complaints; conduct salary surveys and construct salary scales; plan and administer career development schemes; provide advice and counselling to staff members; plan and organize staff services, such as pension schemes and other welfare provisions; identify and define requirements of human resources information systems, and managing employee assistance programmes.",Human resources management specialists,NULL
1.A.06.a,IP,"Plan and direct development, implementation and administration of benefits or social security schemes, such as pensions, health insurance and workers' compensation, designed to insure employees against loss of income due to injury, illness, unemployment or retirement and in case of death, provide compensation to family beneficiaries; analyse benefit policies, coverage of schemes, data concerning practices among similar organizations and modify aspects of existing benefit schemes, or negotiate modifications with private contractors; develop and disseminate information in written and verbal form to inform and advise employees of eligibility for benefit programmes. Interpret the staff regulations and rules and approve the application of staff entitlements and conditions of service. Assess and evaluate existing conditions of service and entitlements and make recommendations to management concerning their implementation.",Human resources management specialists,a. Benefits and entitlements specialists
1.A.06.b,IP,"Develop human resources policies; plan and administer organizational development programmes compatible with available human resources; develop communication programmes to promote HRM role, objectives, practices and procedures; identify career paths and opportunities for particular occupational categories employed; develop, implement and administer performance appraisal programmes; determine in consultation with management and staff members development needs of individual staff members and advise management and staff members on career prospects, problems and strategies; assist management in the development of career plans for staff members, including lateral transfers, planned work experience, training and staff exchange programmes; analyse career progression patterns and identify factors inhibiting career mobility and ability of an organization to attract and retain staff; identify and develop schemes ensuring appropriate rewards for high performance and sanctions for poor performance; prepare reports to management on career development needs of organization and recommend modification of existing, or development of new policies or programmes; coordinate the development of organizational (core) competencies; and identify, analyse and monitor, on a continuing basis, the recruitment needs of the organization and recommend adoption of recruitment targets for particular categories of staff.",Human resources management specialists,b. Human resources policy and planning specialists
1.A.06.c,IP,"Plan, implement, administer and monitor classification programmes and related systems for classifying positions according to the nature of work performed and the value of that work to the Organization, including providing advice to management and staff on all job classification matters; develop job evaluation and organizational structure criteria; provide assistance to management in the design of organizational structures that support the fulfilment of the Organization's mandate within existing constraints.",Human resources management specialists,c. Job evaluation and compensation specialists
1.A.06.e,IP,"Plan and implement recruitment strategies and programmes to assist management in meeting programme goals of the Organization and ensuring the timely and efficient filling of current and upcoming vacancies; assess the effectiveness of the recruitment pr0grammes; keep abreast of new selection techniques and processes and develop, in cooperation with other HR specialists, occupational competencies and other recruitment criteria; plan and conduct internal and external redeployment programmes; maintain contact with prime recruitment sources and develop contacts with new sources; define the need for and utilization of computerized applicants' rosters; conduct advertising and prospecting programmes for job applicants using a variety of computerized databases and telecommunications means; develop information and publicity material on vacancies in the Organization; assess applicants' suitability for selection, employment or internship programmes; plan, conduct and evaluate interviews and tests used in the selection process; record information on candidates, including educational qualifications, previous employment history and results of interviews; notify candidates of the results of the selection process; supply information to applicants concerning the nature of job vacancies, duties, responsibilities and working conditions, including the remuneration package and career opportunities; prepare job offers and negotiate the details of contracts.",Human resources management specialists,e. Staffing specialists
1.A.06.g,IP,"Evaluate and assess the specific training needs of the Organization in consultation with management and staff; plan, develop and implement training programmes to meet identified needs, both individual and institutional, including formal training courses, group workshops, orientation and on-the-job training; identify in-house resources via skills inventories for staff training programmes; evaluate suitability of external courses; manage sabbatical/external assistance schemes; evaluate and compare cost of possible alternative actions to training, such as enhanced job design, redeployment, recruitment, etc.; evaluate cost-effectiveness of training by linking training costs to perceived benefits; prepare staff development programmes in light of Organization HR plan; develop and conduct courses related to general and human resources management needs; prepare course outlines and other material for training courses, select and brief course instructors and manage the running of courses; prepare and supervise preparation of training aids, such as audio-visual materials, reference documents and training handbooks; evaluate and recommend the purchasing of training equipment and supplies; evaluate, using pre­determined indicators, the results of individual training components and total training programme on an on-going basis; provide advice to management on training needs and problems; keep abreast of new developments and trends in the field.",Human resources management specialists,g. Training and development specialists
1.A.06.h,IP,"Perform activities designed to promote and maintain harmonious relations between staff and management, which will contribute positively to the work climate and enhance staff motivation, morale and productivity in the Organization; advise or represent management in matters involving the recognition of and formal consultation or negotiation with, staff associations or in carrying out agreements with such associations on all issues related to staff welfare and the conditions of work, including staff services, conduct, rights, grievances and appeals; organize and administer staff consultative, grievance and appeal procedures; inform and counsel staff in respect of responsibilities, rights and difficulties associated with work and entitlements and negotiate settlements of appeals and complaints; promotes informal resolution of disputes and conflicts in the work place.",Human resources management specialists,h. Labour relations and mediation specialists
1.A.07,IP,"Plan, administer, review and evaluate the printing services of the organization and its ability to produce documents, books, periodicals, newspapers, circulars, music scores, maps, greeting cards and other material; determine and recommend modifications of existing or purchase of new machines and equipment required for current or projected operations; when appropriate, determine and negotiate contracts with private firms for printing services; develop standards and guidelines for the operation of printing presses and related equipment, and other production activities and monitor their application; administer and control the operations of the printing services to produce the required material within established quality, quantity, cost and time requirements.",Printing services specialists,NULL
1.A.08,IP,"Plan and conduct programmes designed to provide information about the organization and to promote better understanding of its aims and activities through a variety of media, including broadcasts and publications via the Internet and through groups such as non-governmental organizations represent the organization in dealings with the press, radio, television and other media and advise the organization on the potential reaction of the public to material intended for dissemination.",Public information specialists,NULL
1.A.08.a,IP,"Provide information about the organization and promote better understanding of its aims and activities by preparing press reports, news releases and background material for public media about the organization based on programmes and projects, events, meetings, conferences or other matters concerning the work of the organization; cover conferences and meetings held by the organization or its officials, or at which the organization is represented, and provide briefings or materials about statements made and decisions taken; collect and analyse information from other sources and prepare press releases of newsworthy items; check press releases with a view to ensuring objective and unbiased reporting, the use of terms understandable to the public and the conformity of the contents to the organization's policies; consult members of operating units and others to keep abreast of developments of public interest; and provide briefings and explanatory statements to representatives of the press.",Public information specialists,a. Press Officers
1.A.08.b,IP,"Provide information about the organization and promote better understanding of its aims and activities by developing printed information and disseminating it through headquarters, regional and field staff to Governments, educational institutions, the media and groups such as non-governmental organizations; maintain liaison with headquarters, regional and field staff and representatives of government information services and monitor national press reports to identify opportunities for publicizing aspects of the organization's work; plan and develop programmes to produce printed information to meet identified needs; assess the potential value of the organization's documents, publications and other written material for public dissemination and edit material, e.g., modifying technical terms and focus to be more understandable and interesting to the intended audience; prepare feature articles for public dissemination on aspects of the organization's work; prepare or oversee preparation of information brochures and kits outlining the organization's work and activities; advise the organization on potential reactions of the public to material intended for dissemination; prepare draft speeches or notes for public addresses by staff of the organization.",Public information specialists,b. Printed media specialists
1.A.08.f,IP,"Provide information about the organization and promote better understanding of its aims and activities by developing and disseminating programme material for broadcasting by audio-visual media, such as radio, television, photography, film and video; identify opportunities for publicizing aspects of the organization's work; oversee the technical production of programmes, and advise the organization on the potential reaction of the public to material intended for dissemination; plan and arrange production and broadcast facilities to provide on-the-spot coverage of current events relating to organization.",Public information specialists,f. Audio-visual media specialists
1.A.08.g,IP,"Provide information and promote better understanding of the organization and its activities by developing multimedia news and communication contents and products such as news interviews, video statements, audio files, photo stories, animated presentations and podcasts; design and create information technology –based multimedia products such as websites, DVDs CD-ROM and video materials combining text with sounds, pictures, graphics, animations and video clips for information and instructional purposes.  Use computer packages to incorporate the work of other specialists, such as writers, artists, animators, film makers, programmers and sound engineers, into final products.",Public information specialists,g. Multimedia specialists
1.A.09,IP,"Streamline the organization’s business activities to ensure operational optimization through the design, planning, and implementation of  an integrated supply chain; study trade information on quality and price of available products and services; negotiate with suppliers on prices, credit terms and discounts, and arrange delivery schedules; negotiate and administer contracts for purchase or sale of equipment, materials, products or services; prepare and review requests for bids, process specifications and other exhibits required in the procurement process; advise affected departments of contractual rights and obligations.",Supply chain management specialists,NULL
1.A.09.a,IP,"Purchase machinery, equipment, tools, materials, parts, services, supplies and utilities; ascertain the organization's requirements and study trade periodicals, suppliers' literature and other information on prices, varieties and quantities available; interview vendors to ascertain their ability to meet the organization's specifications for design, performance, price and delivery; negotiate with suppliers on prices, credit terms and discounts and arrange delivery schedules; authorize payment of invoices; and price items for resale.",Supply chain management specialists,a. Procurement specialists
1.A.09.b,IP,"Establish and administer contracts for purchase or sale of equipment, materials, products or services; check estimates of material, equipment and production costs, performance requirements and delivery schedules for accuracy; prepare requests for bids, process specifications and other exhibits that may be required in procurement process; review bids for conformity to contract requirements and determine acceptable bids; negotiate contract with supplier or customer; request or approve amendments to or extensions of contracts; and advise departments of contractual rights and obligations.",Supply chain management specialists,b. Contracts specialists
1.A.09.c,IP,"Define, design, coordinate and manage the infrastructure requirements of operations or specified programmes. Work involves ensuring a smooth flow of materials, equipment or supplies from the point of purchase through warehousing and shipment to the point of consumption.",Supply chain management specialists,c. Logistics specialists
1.A.10,IP,"Organize, coordinate and advise on representation and protocol services to secure support for and implement policy of the organization and ensure compliance of activities with international norms of diplomatic protocol; establish relations and maintain liaison with constituents of organization and advise on issues affecting organization's relations; serve as representative or observer in a non-technical capacity at meetings and other functions of the organization or outside bodies and make statements or negotiate on behalf of the organization; advise the organization and constituents on protocol matters; and coordinate and organize official ceremonies and social functions.",Representation and protocol specialists,NULL
1.A.10.b,IP,"Organize and coordinate representation activities to secure support for, and implement policy and achieve objectives of, the organization; provide information to and seek views of outside bodies on the organization's policies, problems or issues; advise on appropriateness, style, procedure and protocol in respect of the organization's formal communications and other documents; serve as representatives or observers in a non-technical capacity at meetings and other functions of the organization or outside bodies and make statements or negotiate on behalf of the organization; prepare reports and write commentaries on meetings attended; assist in servicing the organization's meetings by preparing agenda, convocations and invitations; advise on issues affecting the organization's external relations; represent the organization as required in receiving official visitors; and represent the organization within a country or geographical region.",Representation and protocol specialists,b. liaison specialists
1.A.10.c,IP,"Develop partnerships, establish relations and maintain liaison with actual and potential donors. Mobilize funds for the organization's programmes and projects; Advocate for the mandate of the organization by providing information on the implementation of the work programmes; keep management and staff informed on donors' criteria and priorities.",Representation and protocol specialists,c. Donor-relation officers and fundraising specialists
1.A.11,IP,"Administer technical cooperation activities, usually within a specified geographical region or sectoral area; maintain liaison with and provide advice to Governments, governmental and non-governmental organizations and institutions, specialized agencies and multilateral and bilateral donors on the optimum utilization of technical assistance activities; issue and interpret operating policies, rules and procedures and maintain up-to-date records thereon; coordinate with the technical servicing (e.g. personnel, finance, travel, transportation, purchasing) and field (e.g. field office and project staff) units to ensure the timely provision of information and action relative to the planning, implementation and evaluation of technical cooperation activities; consolidate and edit data provided for programme planning documents, project proposals, project documents and project implementation reports, experts' job descriptions, curricula vitae, work plans, progress reports, fellowship programmes and reports on evaluation and follow-up activities, while seeking harmonization of conflicting information or views; maintain information on all related aspects (e.g. political, personnel, finance, equipment, travel) of technical co-operation activities within the region or area and advise management and i technical units whenever appropriate; negotiate with funding sources or assist in such negotiations by providing information and advice.",Technical cooperation administrators,NULL
1.A.12,IP,"Plan and supervise the administrative, financial and personnel support services required by a programme, office or organization; prepare budget and financial reports; authorize expenditures, personnel actions, acquisitions and other administrative actions.",Administrative officers,NULL
1.A.21,IP,"Ensure compliance with policies, procedures and standards in pursuance of prevention of waste, abuse, misconduct and fraud. Plan and conduct audits and reviews of operations to evaluate their efficiency and effectiveness in achieving the organization's objectives; ascertain the completeness, authenticity and proper maintenance of the organization's financial records, in accordance with its regulations, rules, policies and procedures; review, by examination, inquiry and observation, the organization's control systems, including those for safeguarding assets and preventing and detecting fraud and theft, in order to determine whether additional procedures might be required; obtain sufficient reliable evidence to constitute a reasonable basis for audit conclusions on the effectiveness of controls and the degree of compliance with them, using discussion, observation, inspection and analytical review techniques; record the planning, supervision and conduct of the audit and control-systems review, the evidence relied upon and the reasons for any significant audit decisions taken; report conclusions regarding operational efficiency and effectiveness, and recommend improvements in control systems or other action considered desirable.",Auditors and inspectors,NULL
1.A.21.a,IP,"Advise the organization and the staff on adherence to international standards, norms and regulations and advocate for the highest level of integrity and ethics in the execution of organizations’ programmes and activities. This includes developing policies, analyzing and assessing risks, complaints and allegations, investigating issues and involving the relevant parties in order to minimize the negative impact on the organization and to prevent future malfeasance.",Auditors and inspectors,"a. Investigation, compliance and ethics specialists"
1.b,IP,"This job family includes occupations concerned with the application of physical laws and principles of engineering and architecture in the utilization of machines, materials, instruments, structures, processes and services.","Architects, engineers",NULL
1.B.01,IP,"Apply engineering theories and principles to airspace development, airport and runway design, aircraft navigation technologies and aerodrome planning. Conduct research and study problems in aviation to increase aviation safety; provide guidance in airport and aerodrome design, operation and maintenance. Develop, interpret and administer safety regulations relating to airworthiness of aircrafts and their accessories. Aviation engineers are also concerned with the improvement and design of navigational aids and communication systems.",Aviation-related engineers,NULL
1.B.01.a,IP,"Apply the theories and techniques of aeronautical engineering as follows: study and advise on design, construction and testing of aircraft equipment and instruments; develop or advise on criteria for the certification of aircraft, including evaluation of flight performance; develop or advise on procedures for maintenance and repair of aircraft and components; advise on training and qualification of aircraft technicians.",Aviation-related engineers,a. Aeronautical engineers
1.B.01.b,IP,"Apply the theories and techniques of aerodrome engineering as follows: study and advise on airport and aerodrome planning, design, certification, and other aerodrome services including maintenance and emergency planning; advise on the design and operation of heliports, visual aids for helicopter operations, and design and monitoring of aerodrome electrical systems;  estimate of traffic, site evaluation and selection, preparation of master plans, pavement designs,  detailed engineering documents and cost estimates; study and advise on airport construction,  evaluation of materials and general work supervision to ensure conformity with plans and specifications; and study and advise on airport operations, including the establishment of preventive maintenance programmes for drainage systems, pavements, visual aids and buildings,  inspection of facilities and implementation of corrective measures as necessary.",Aviation-related engineers,b. Aerodrome engineers
1.B.02,IP,"Apply the theories and techniques of agricultural engineering as follows: study and advise on power and machinery, electrification, structures, soil and water conservation and the processing of agricultural products; develop criteria for the design and manufacture of equipment used for tillage and fertilization, plant and animal disease and insect control, harvesting and moving commodities and evaluating and processing farm products; advise on design and use of sensing, measuring and recording devices and instruments for studying such problems as the effects of temperature, humidity and light on plants or animals, or relative effectiveness of different methods of applying insecticides; advise on the design and construction of structures for crop storage, animal shelter and human dwelling, including light, heat, air-conditioning, water supply and waste disposal; and advise on the design and construction of rural distribution systems for electric power and irrigation.",Agricultural engineers,NULL
1.B.02.a,IP,"Apply the theories and techniques of forest engineering as follows: study and advise on construction, installation and the use of structures, equipment and harvest transportation system, and perform other engineering duties concerned with the removal of logs from timber area; survey timber land and draw topographical maps; determine the locations of loading points and storage areas and the methods of equipment for handling logs; advise on the layout and construction of roads or rail network used to transport logs from cutting areas to loading sites and storage areas; and plan and direct the construction of campsites, loading docks, bridges and culverts, equipment shelters and water and sanitary facilities to maintain the efficient and safe removal of logs from constantly shifting cutting areas.",Agricultural engineers,a. Forest industry engineers
1.B.03,IP,"Apply the theories and techniques of architecture and community planning as follows: advise on design and construction of buildings, ships and related structures; plan layout and co­ordinate development of rural and urban areas; and plan, design and co-ordinate aesthetic landscaping for parks and road development and other projects.",Architects and community planners,NULL
1.B.05,IP,"Apply the theories and techniques of chemical engineering as follows: study and advise on design of plant equipment and development of processes for manufacturing chemicals and chemical products; advise on design, layout, construction and control of equipment for carrying out chemical processes; and determine most effective arrangement of operations such as mixing, crushing, heat transfer, distillation, oxidation, hydrogenation and polymerization.",Chemical engineers,NULL
1.B.06,IP,"Apply the theories and techniques of civil engineering as follows: study and advise on the design of structures, such as bridges, dams, docks, roads, airports, railways, systems for disposal of non-nuclear waste and flood control and industrial and other buildings, and plan, organize and supervise their construction, maintenance and repair; assess broad requirements of construction project and determine most suitable location for structures; assess conformity with building codes; calculate stresses and strain implicit in or affecting proposed structures, taking account of such factors as estimated load, water pressure, wind resistance, soil characteristics, temperature fluctuations and nature of building materials to be used; consult with other specialists, such as mechanical, electrical and chemical engineers and construction and landscape architects, regarding technical aesthetic requirements; advise on the design of structures and the preparation of cost estimates, working plans and specifications, indicating types of materials and earth-moving, hoisting and other equipment required; and plan, organize and supervise maintenance and repair work on existing structures.",Civil engineers,NULL
1.B.06.e,IP,"Study and advise on the technical and economic planning, design, construction, operation, maintenance, surveillance and evaluation of specialized facilities, e.g. those necessary for the control of the quality of water resources and of the environment, in particular facilities for water supply, waste water treatment, vector control, healthy housing, food safety, radiation protection,  chemicals and industrial water, and the evaluation of the performance of such works; evaluating the adequacy and effectiveness of control programmes for the protection of human health and well-being. Plan, design, construct, operate, maintain and manage land and water development activities in respect of: irrigation, drainage, flood protection, surface and ground-water resources; the assessment of irrigation and drainage requirements in relation to crop production, soil characteristics and climate; land preparation for irrigation; the control of salinity and waterlogging, and reclamation of problem soils; the use of low-quality water; the protection of agricultural land from flooding and salt-water intrusion; and the design and operation of engineering structures for water storage, diversion conveyance and field distribution.",Civil engineers,e. Water and sanitation engineers
1.B.07,IP,"Apply the theories and techniques of electrical and electronics engineering as follows: study and advise on the design, construction, installation, operation, maintenance and repair of systems that generate, transmit, distribute, control and utilize electric energy; and study and advise on electrical engineering problems and the development of electrical and electronic products and equipment, such as communications equipment for telephone, radio, television and satellite systems, automatic control systems and domestic and industrial equipment.",Electrical and electronic engineers,NULL
1.B.07.a,IP,"Apply the theories and techniques of electrical engineering as follows: study and advise on the design, manufacture and testing of electrical components, equipment and systems, the applications of equipment to new uses and the manufacture, construction, installation and maintenance of electrical equipment, facilities and systems; study and advise on the design of electrical components of equipment and equipment used in the generation of electric power or products and systems utilizing electrical energy for commercial, domestic and industrial purposes; and may specialize in a particular area of electrical engineering.",Electrical and electronic engineers,a. Electrical engineers
1.B.07.b,IP,"Apply the theories and techniques of electronics engineering as follows: study and advise on the design, development, construction, installation, operation, maintenance and repair of electronic devices and equipment, including such matters as operating requirements for radio, television and radar equipment, telecommunications installations, automatic control and guidance systems, and other electronic equipment; and perform other tasks similar to those of electrical engineers.",Electrical and electronic engineers,b. Electronic engineers
1.B.07.c,IP,"Apply the theories and techniques of telecommunications engineering as follows: study and advise on the design, development, construction, installation, operation, maintenance and repair of telecommunications systems and equipment, and on developing and administering national and international frequency control programmes from the technical and regulatory point of view; specialize in telephone and telegraph systems based on line or radio communications; including aeronautical communications, navigation and surveillance systems.",Electrical and electronic engineers,c. Telecommunications engineers
1.B.08,IP,"Apply the theories and techniques of industrial engineering as follows: study and advise on the design, installation, operation and control of integrated systems of personnel, materials, machinery and equipment to manufacture units of high competitive quality in large quantities while maintaining low production overhead and safe and efficient operations.",Industrial engineers,NULL
1.B.09,IP,"Apply the theories and techniques of marine engineering as follows: study and advise on the design, installation and repair of all types of vehicles and equipment for the marine environment, power plants, propulsion systems, heating and ventilating systems and other mechanical and electrical equipment in ships and marine facilities; study drawings and specifications and perform complex calculations to conceive equipment and systems designed to meet the requirements of the marine craft or facility; prepare cost estimates, referring to technical drawings and specifications; study and advise on the repair of ship equipment, such as power plants, propulsion systems and other electrical and mechanical equipment and on its evaluation during acceptance testing and shakedown cruises; and study and advise on criteria to evaluate serviceability and safety, such as criteria for intact stability, manoeuvrability, fire safety and noise levels.",Marine engineers,NULL
1.B.10,IP,"Apply the theories and techniques of mechanical engineering as follows: study and advise on the design, development, production installation, operation and maintenance of fabricated metal products, tools, machines and associated or auxiliary systems and on the generation, transmission and utilization of heat and mechanical power.",Mechanical engineers,NULL
1.B.13,IP,"Apply the theories and techniques of nuclear engineering as follows: study and advise on the release, control and utilization of nuclear energy and the operating and maintenance activities of operational nuclear facilities, including such problems as thermonuclear analysis and the utilization of radiation, the analysis and design of reactor and nuclear-energy systems, the analysis of radiation effects and shielding design problems, the processing of radioactive materials, radioactive waste disposal and radiological safety control.",Nuclear engineers,NULL
1.c,IP,"This job family includes occupations concerned with identifying, capturing, structuring, valuing, leveraging and sharing the organization’s intellectual assets to enhance its performance and competitiveness.  These assets may include databases, documents, policies and procedures and previously uncaptured expertise and experience. The application of library and archival practices in the establishment and maintenance of libraries, specialized information networks, archives, museums, galleries and related records and exhibits is also included.","Knowledge, documentation and information management specialists",NULL
1.C.01,IP,"Plan, develop and administer policies and systems designed to facilitate effective and efficient handling, retention and preservation of the organization's records and other data materials, including historically valuable documents. Examine, evaluate and improve systems. Analyse documents to determine the value to posterity or to the organization. Supervise work engaged in the cataloguing and preservation of valuable materials and disposal of worthless ones.",Archivists and documents management specialists,NULL
1.C.03,IP,"Design, adapt, establish, develop, operate and manage general and specialized library and information services, systems and networks in support of the programmes of the organization; develop systems and policies related to collection development and management of library materials; analyse and organize (abstract, index and catalogue) information resources for effective retrieval through on-line or manual catalogues, and bibliographic or other databases; create and maintain thesauri, authority files, as well as other printed and electronic information products, current and support files; design and conduct training programmes and provide technical assistance in the use of information resources and systems; provide reference services and information products; promote information services through presentations, newsletters and other public awareness products and training programmes; promote international exchange of information and support the information needs of developing countries by designing systems which enable them to have access to the collections or part of the databases.",Library and information specialists,NULL
1.C.04,IP,Provide expertise in knowledge assimilation and dissemination of information within the organization; develop communities of practice and training materials; advise on the introduction of new tools and technologies that can enhance the work and access to information.,Knowledge management specialists,NULL
1.C.07,IP,"Design, develop, establish and operate a network for the collection, organization and dissemination of a highly specialized category of information from diverse sources to promote the accomplishment of development objectives (e.g., a network for environment, industrial, social or technological information and exchange or technology transfer), providing information to a selective audience; identify contributors and selectively solicit contributions; facilitate substantive data transfer and exchange through creation of computer information networks.",Information network specialists,NULL
1.f,IP,"This job family includes occupations concerned with the development and improvement of curricula and teaching, administrative methods, materials and procedures and the co­ordination of courses of instruction at all educational levels.",Education specialists,NULL
1.g,IP,"This job family includes occupations concerned with the application of principles relating to law including the provision of general legal advice and representation of organizations as legal entities, research into and development of specialised areas of national and international law, and the drafting and interpretation of international conventions, treaties and other instruments and resolutions.",Jurists,NULL
1.G.01,IP,"Provide general legal advice and services to the organization; advise on constitutional and other legal questions, including the admission of Member States, the credentials of representatives, relations with host country and the rights, privileges and immunities of staff; provide interpretation of and draft amendments to the organization's constitution and rules of procedure of organs, conferences and other bodies, as well as staff regulations and rules; represent the organization in judicial proceedings, negotiations or other procedures for the conclusion of agreements or the settlement of disputes; examine and draft legal documents, including contracts, deeds, insurance and other agreements; undertake investigations and prepare reports on special legal problems.",General legal advisers,NULL
1.G.02,IP,"Provide advice contributing to the progressive development and dissemination of international law; draft international instruments and participate in meetings concerned with their elaboration or implementation; provide advice on and interpretation of international instruments, including compliance or non-compliance; study codes of law and prepare comparative analyses; collect, compile and analyse data in special fields of investigation and prepare studies, reports and recommendations; carry out tasks related to the organization's functions as a depository of international instruments. May specialize in particular areas, such as international trade law, maritime law, human rights, labour law, intellectual property law, disarmament and peace-keeping functions, telecommunications law, law of the sea, air and outer space.",International law specialists,NULL
1.G.04,IP,"Provide advice contributing to the progressive development and dissemination of national systems of law; review draft legislation, or participate in or lead projects to draft legislation; analyse, evaluate and explain various alternative laws or legal systems or legal approaches.",National law specialists,NULL
1.h,IP,This job family includes occupations concerned with conducting research to increase basic knowledge of all living organisms and practical application of biological and behavioural theories.,Life scientists,NULL
1.H.01,IP,"Apply the theories and techniques of agricultural science as follows: study problems i0 agriculture, horticulture and husbandry in order to develop and advise on improved methods of the propagation, cultivation, processing, handling and storage of products, land-conservation practices, pest control, land-use planning and related activities.",Agricultural scientists,NULL
1.H.01.a,IP,"Apply the theories and techniques of agronomy as follows: study problems relating to field crops and grasses, and develop and advise on new and improved production methods; investigate and advise on methods to improve seed germination, plant growth, the adaptability Of crops to different soils or climates, resistance to diseases and pests, yields, the quality of harvests and other characteristics of field crops; investigate and advise on crop planting, cultivating, harvesting and harvest storage methods and the effects of rotation, drainage, irrigation and climatic conditions; introduce methods for the control of weeds, plant diseases and pests; and advise on the selection of crops and methods of production.",Agricultural scientists,a. Agronomists
1.H.01.b,IP,"Apply the theories and techniques of zoology and animal science as follows: study animal genetics, advanced animal husbandry methods and related matters in order to develop improved strains and improved methods of raising animals and producing higher yields of animal products, study and advise on the control of breeding in order to produce offspring with such characteristics as improved strength, disease resistance, rates of maturity, fertility and size; determine feed, housing, sanitation and other requirements for producing meat or other animal products of desired quality and for the maintenance of the health and strength of animals; and develop and advise on improved methods of controlling animal diseases, slaughtering for meat and the preparation and storage of animal products. Study and advise on the origin, interrelationship, classification, life history, habits, life processes, ecology and distribution of all forms of animal life in order to increase scientific knowledge and develop practical applications in such fields as agriculture and medicine.",Agricultural scientists,b. Animal scientists
1.H.02,IP,"Apply the theories and techniques of the biological sciences as follows: study the reproduction, growth and development, structure, life processes, behaviour and classification of living organisms and apply findings in order to provide advice on the prevention of diseases in the maintenance and promotion of health in plant and animal life; and investigate the economic utilization and environmental impacts on animals, plants and humans. Observe the characteristics and behaviour of life forms in their natural environment. Prepare reports of findings and conclusions for use in such fields as medicine, agriculture and pharmaceuticals manufacture or as an aid to further research.",Biological scientists,NULL
1.H.02.a,IP,"Apply the theories and techniques of anatomy as follows: study the form and structure of human and animal bodies in order to develop and advise on the practical applications of scientific knowledge to human medicine and related fields; examine organs or organ systems in the laboratory; employ and advise on the use of such techniques as dissection, microscopy and photography; identify and compare the nature and characteristics of organs, tissues and cells; and prepare reports of findings and conclusions; may carry out experiments for purposes of investigating such anatomical characteristics and reactions as ability to regenerate destroyed or damaged parts of the body and the possibility of transplanting organs or skin segments from one body to another.",Biological scientists,a. Anatomists
1.H.02.b,IP,"Apply the theories and techniques of microbiology as follows: study the nature and characteristics of micro-organisms (bacteria, viruses, moulds and pathogenic protozoa) to provide advice on industrial, medical and other practical applications; plan experiments, tests and analyses in order to isolate, identify and make cultures of micro-organisms, determine conditions that favour and inhibit their growth and reproduction, ascertain their action on living tissues of plants, animals and other micro-organisms and dead organic matter and determine chemical composition of acids, alcohols, enzymes and other substances produced thereby; develop and advise on new or improved methods for the processing, preservation and flavouring of dairy products and other foods, the control and utilization of micro-organisms in soil, the prevention and treatment of disease and other practical applications in industry, agriculture, medicine and other fields.",Biological scientists,b. Microbiologists
1.H.02.f,IP,"Study the development physiology, heredity, environment, distribution, structure and economic value of plants in order to provide advice in such fields as agronomy, forestry, horticulture, plant nematology and pathology and medicine; study the nature and behaviour of chromosomes, cells and tissues, using the relevant scientific equipment; identify and classify plants; examine the effect of environmental factors, such as rainfall, temperature, climate and soil, on plant growth, harvesting and disease-control; and investigate the mechanics and chemistry of plant growth, development reproduction and maturity and advise accordingly.",Biological scientists,f. Botanist and other Plants specialists
1.H.02.g,IP,"Apply the theories and techniques of entomology as follows: study insects and their relation to plant and animal life; identify and classify all species of insects and allied forms; assist in the control and elimination of harmful vectors by developing and advising on new and improved insecticides and biological methods, including the use of birds, natural parasites and other enemies that prey on destructive insects; develop the means to encourage the growth and spread of beneficial insects, including bees and those that are used as food by birds and fish; study insect distribution and habitat; and recommend methods to prevent the importation and spread of injurious types.",Biological scientists,g. Entomologists
1.H.02.l,IP,"Apply the theories and techniques of pharmacology as follows: study and advise on the effects of drugs and other substances on the tissues and physiological processes of animals and human beings and develop new or improved medicinal drugs; perform experiments, tests and analyses in order to determine the effects of drugs and other substances on the metabolism, cell growth, reproduction, digestion and other life processes; collaborate with medical doctors and pharmacists in testing drugs on human beings and in the standardization of production methods, drug potency, drug dosages and methods of applications.",Biological scientists,l. Pharmacologists
